time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
1.366666666666666863e-01,1.000000000000000000e+00,9.554586937290332482e-01,4.931673604021317991e-02,-1.361090518724380249e+00,7.813356429566939987e-01,9.554644314059713706e-01,4.931018094727947221e-02,-1.361092294299997230e+00,7.813358343089825686e-01,9.554586937516904577e-01,4.931673602054668926e-02,-1.361090518701612018e+00,7.813356427024227280e-01,6.555092933707706848e-06,2.265720944194526965e-11,6.209998501821691560e-13,3.500733434473969724e-06,1.136324594510221327e-11
1.400000000000000133e-01,1.000000000000000000e+00,9.508630192813068982e-01,5.196300264412520575e-02,-1.396342499029469053e+00,8.064985398052519905e-01,9.508657209557340728e-01,5.195926128232873642e-02,-1.396344124005235221e+00,8.064977224680756063e-01,9.508630193048376311e-01,5.196300262372020168e-02,-1.396342499001774096e+00,8.064985395343633456e-01,3.741361796469333534e-06,2.353073291772034281e-11,5.787056397202584547e-13,1.722692302700724802e-06,1.157302522899329123e-11
1.433333333333333404e-01,1.000000000000000000e+00,9.461495509859152442e-01,5.469389419911672989e-02,-1.431767958584604816e+00,8.321125403625133643e-01,9.461486612131456697e-01,5.469363007581076047e-02,-1.431769426833501502e+00,8.321107964000623580e-01,9.461495510104267481e-01,5.469389417781593543e-02,-1.431767958550810071e+00,8.321125400730127186e-01,8.897727695744706011e-07,2.451150393767420610e-11,5.765305088965030356e-13,3.848112402876295332e-07,1.170836670247140548e-11
1.466666666666666674e-01,1.000000000000000000e+00,9.413176991917699965e-01,5.751093363914737411e-02,-1.467373751446599650e+00,8.581891930605478613e-01,9.413133025913748009e-01,5.751427009331978174e-02,-1.467375125723562101e+00,8.581867914315413071e-01,9.413176992172344049e-01,5.751093361699311651e-02,-1.467373751405703697e+00,8.581891927507809825e-01,4.396600395195626731e-06,2.546440835970997796e-11,5.584044186985412776e-13,2.443784766143346575e-06,1.175452781217554724e-11
1.500000000000000222e-01,1.000000000000000000e+00,9.363668511880153256e-01,6.041568233604377447e-02,-1.503166857564357528e+00,8.847400086726854296e-01,9.363595069536889692e-01,6.042231759046932937e-02,-1.503168256375408296e+00,8.847373503560479469e-01,9.363668512144656120e-01,6.041568231298642677e-02,-1.503166857515304766e+00,8.847400083408756277e-01,7.344234326356335885e-06,2.645028640557711697e-11,5.692800728173182718e-13,4.172490496423088413e-06,1.169519507692755223e-11
1.533333333333333492e-01,1.000000000000000000e+00,9.312963708032820920e-01,6.340973993837034639e-02,-1.539154371203570015e+00,9.117764386189585180e-01,9.312869562941372692e-01,6.341905694760237300e-02,-1.539155946134472597e+00,9.117739940294624645e-01,9.312963708307527844e-01,6.340973991435751300e-02,-1.539154371145019295e+00,9.117764382629282016e-01,9.414509144822780229e-06,2.747069238751009834e-11,6.023903975789284272e-13,5.381199545463366596e-06,1.151115484111758136e-11
1.566666666666666763e-01,1.000000000000000000e+00,9.261055980475050298e-01,6.649474413227579594e-02,-1.575343486863834963e+00,9.393098496681351328e-01,9.260951643555165314e-01,6.650591360189361811e-02,-1.575345394321129078e+00,9.393080936223321409e-01,9.261055980758298167e-01,6.649474410755269738e-02,-1.575343486794734904e+00,9.393098492862553828e-01,1.116946961782216974e-05,2.832478696035423127e-11,5.783431179162992013e-13,5.966013432757280224e-06,1.118150168071731783e-11
1.600000000000000033e-01,1.000000000000000000e+00,9.207938488045781522e-01,6.967237031245430978e-02,-1.611741482359446254e+00,9.673514945666032983e-01,9.207834911444365833e-01,6.968444533771213367e-02,-1.611743853657676251e+00,9.673508440650242513e-01,9.207938488337803484e-01,6.967237028698251844e-02,-1.611741482278081783e+00,9.673514941561826008e-01,1.207502525782389036e-05,2.920219621671549248e-11,5.752012622819858407e-13,5.900735177031223452e-06,1.068230915666545113e-11
1.633333333333333304e-01,1.000000000000000000e+00,9.153604145879393750e-01,7.294433114575600563e-02,-1.648355698686805759e+00,9.959124780542937261e-01,9.153511602072891273e-01,7.295633204719582932e-02,-1.648358612263784773e+00,9.959132379546622449e-01,9.153604146179294965e-01,7.294433111966534822e-02,-1.648355698591420948e+00,9.959124776126619949e-01,1.200090143982368573e-05,2.999012149729196608e-11,5.434201841348928803e-13,5.226843556006879290e-06,9.987234017874278005e-12
1.666666666666666852e-01,1.000000000000000000e+00,9.098045623679439364e-01,7.631237601487979305e-02,-1.685193516268420622e+00,1.025003717684254800e+00,9.097972784193683049e-01,7.632336412455859032e-02,-1.685196975483893800e+00,1.025006038885231563e+00,9.098045623987603969e-01,7.631237598810612643e-02,-1.685193516157081017e+00,1.025003717208409437e+00,1.098810967879726430e-05,3.081646049452047009e-11,5.686758698107195836e-13,4.041708818569955128e-06,9.065945273412543728e-12
